park_id,name,address,district,latitude,longitude
tdcp6,Kwai Fong Car Park,"19 Kwai Yi Road, Kwai Fong",Kwai Tsing,22.3554853,114.1273145
tdc14p6713,Kwai Hong Car Park,"Kwai Hong Court Car Park, 150 Tai Wo Hau Road, Kwai Chung,  New Territories",Kwai Tsing,22.3634034,114.1303542
tdc14p4312,Kwong Fuk Car Park,"Kwong Fuk Commercial Centre, 28 Plover Cove Road, Tai Po, New Territories",Tai Po,22.448533,114.173875
tdstt118,Kwong Fuk Carpark Tai Po Dai Wah Street,"Dai Wah Street, Tai Po, New Territories",Tai Po,22.4534612,114.1794529
tdc74p13,Kwong Fuk Park,"Kwong Chun Street, Tai Po",Tai Po,22.4460424,114.1730658
tdc14p4222,Kwong Yuen Car Park A,"Kwong Yuen Shopping Centre, 68 Siu Lek Yuen Road, Sha Tin, New Territories",Sha Tin,22.381504,114.215424
tdc48p1,Lai Chi Kok Park,"1 Lai Wan Road, Lai Chi Kok, Kowloon",Sham Shui Po,22.3397465,114.1382217
75,Landmark East Carpark,"Landmark East, 100 How Ming Street, Kwun Tong, KLN",Kwun Tong District,22.3126715,114.222284
tdc6p15,Lei Yue Mun Estate,"33, KO Chiu Road, Yau Tong, KLN",Kwun Tong,22.2946053,114.2401428
tdc58p2,Lei Yue Mun Municipal Services Building,"6 Lei Yue Mun Path, Yau Tong",Kwun Tong,22.2922688,114.2388306
tdc14p4223,Lek Yuen Car Park,"Lek Yuen Plaza, 6 Lek Yuen Street, Sha Tin, New Territories",Sha Tin,22.385562,114.191191
tdc14p3512,Leung King Car Park,"Leung King Plaza, 31 Tin King Road, Tuen Mun, New Territories",Tuen Mun,22.406017,113.962654
tdc14p4352,Lok Fu Estate Car Park,"Lok Fu Place, 198 Junction Road, Wang Tau Hom, Kowloon",Wong Tai Sin,22.3352316,114.1869606
tdc14p4334,Lok Fu Market Car Park,"Lok Fu Place, 198 Junction Road, Wang Tau Hom, Kowloon",Wong Tai Sin,22.3393069,114.1870108
tdc14p4332,Lok Fu UNY Car Park,"Lok Fu Place, 198 Junction Road, Wang Tau Hom, Kowloon",Wong Tai Sin,22.3384819,114.1858723
